19963	228	49800
29206	230	35941
45889	280	4076
36929	220	38011
21064	230	37660
5168	268	43092
13362	289	47392
25930	210	18855
15662	298	30856
46660	140	35893
41483	230	12669
48773	230	32383
32723	230	27561
48899	174	2716
21409	234	31565
45154	203	2377
5809	27	18777
49543	230	31588
29541	195	49911
27215	235	28995
27519	234	14731
17624	230	13944
42404	230	12994
40833	27	32383
43623	268	27625
44863	268	16996
39597	195	2838
2298	268	45326
46780	228	1757
19085	236	47611
23937	228	38698
47229	230	28920
30784	277	36058
16780	230	25623
9469	228	47380
10748	27	5849
24485	209	44048
27017	280	3601
22803	27	7538
12000	268	7630
34842	230	29529
24865	203	6656
5457	268	25743
44231	210	7748
33780	27	19176
12235	230	38393
6839	138	27082
20847	75	32975
26773	27	42828
45607	244	46255
21998	230	35191
44451	83	40635
446	110	7465
28032	268	3610
19618	150	12135
5841	268	12471
11645	140	24353
33882	268	6050
43665	244	42006
1221	268	20221
43035	230	35893
36890	244	46255
20438	230	31899
38709	27	29486
37738	257	37558
40479	268	30830
35203	195	8126
32997	230	20118
23492	277	43271
33648	230	4015
943	289	21083
28530	27	24897
46167	27	40979
42093	230	11094
46794	289	11218
6958	140	13098
17759	230	35671
43593	140	8178
30912	230	42006
971	295	5060
38148	212	5932
41775	203	22141
6157	230	36477
15564	109	34454
20306	230	47851
20936	31	860
39465	268	39541
10156	203	2507
8696	280	5927
17051	27	20820
8457	268	20955
17924	109	2481
44417	109	35142
36283	195	17572
48878	21	34210
21663	230	40879
9336	230	8154
28927	27	25970
5067	268	45326
41713	27	34700
12039	280	2024
32349	268	48253
6168	247	29423
40191	27	20144
15509	268	15242
48390	235	35055
22603	228	7648
38516	268	9885
34522	268	6416
30169	27	44763
37006	125	32955
10635	268	25536
32785	235	28995
2395	228	33291
27781	268	40298
498	27	12077
29509	140	44320
18603	268	47791
34495	39	38654
39491	289	11995
33436	235	3601
28164	268	7928
16655	268	30811
16827	268	7500
23670	268	30811
31871	166	39730
32965	289	41333
23320	27	16073
4576	268	43092
24390	268	45636
37634	230	27551
17176	75	9097
11517	289	26230
27397	195	47974
34659	212	41120
158	268	28982
31013	268	40389
45353	268	9411
42386	210	36732
2732	230	39820
23531	230	24512
48982	220	32089
8376	235	28995
28149	230	38654
25842	230	28920
27435	140	19698
42632	268	49865
35206	27	35267
45904	27	38628
9259	268	13543
49415	230	8154
2337	239	13837
7452	212	3713
12746	268	13008
48309	75	48543
17312	280	24956
7278	230	6754
24044	268	42551
18480	17	39730
34487	210	31328
1347	102	44258
15340	1	17604
27366	268	10447
4984	228	11317
40588	140	25895
33639	268	30244
35003	228	34862
23804	268	6951
33527	268	46056
7202	27	15278
5060	230	16176
1040	268	39818
13638	117	9996
39820	27	24015
3171	268	26739
40133	228	34638
15154	230	39676
37607	176	18507
26026	268	28982
1590	17	37889
646	75	11045
42575	268	29198
196	1	9460
8092	210	43432
35315	280	28920
17713	230	40475
7524	220	4137
45249	140	46255
29270	280	17789
9048	247	49064
31661	268	21300
13537	230	4337
2803	27	37291
41015	1	25461
4372	230	33754
46784	145	5489
36977	212	46868
12238	230	46255
10286	210	26942
28212	268	21483
680	228	20780
8823	27	36256
15580	230	16545
25077	268	16996
47016	140	9907
7248	268	7152
3370	235	32111
19455	209	27868
608	140	26845
16380	230	12019
33217	230	42529
43991	268	27472
33752	228	37636
22348	26	40533
23094	230	16083
43839	268	14784
14151	230	10648
35163	17	37889
25781	268	47291
27620	230	32002
42323	26	7973
41911	230	17789
6632	210	43432
26404	109	5197
40313	268	13008
27905	247	47227
11357	247	40132
282	295	40954
6108	230	48506
31093	289	35435
17600	230	37889
12635	150	33826
41011	235	19753
3053	87	33752
13171	268	37130
34181	230	32002
43587	268	28042
23055	75	9893
14830	27	45099
17150	230	2024
25712	235	37660
35694	27	44262
16816	27	41258
48659	234	42283
18521	26	38501
32724	27	46255
23762	203	8556
13959	230	8924
3579	140	31854
17756	268	40298
23720	109	19545
11078	230	14297
10402	27	31834
17881	268	13628
11232	212	41223
34275	289	38259
24032	235	9781
42275	240	6225
21943	191	2024
9671	268	15401
23382	230	24504
38875	230	18809
20728	228	37476
1011	230	14118
43503	268	9516
37116	280	31854
30964	212	45687
47285	109	19729
9970	268	9581
49638	268	14195
29025	230	24512
46870	228	29043
37345	33	5120
40210	174	48846
26490	230	29701
47303	268	34132
42751	186	16271
22886	212	1179
21278	230	7457
12665	27	27178
27265	75	5053
27357	27	1445
38548	174	47974
14280	230	2024
1753	268	10447
49741	27	16118
11065	140	14203
24949	300	32383
36874	17	42529
39026	268	20817
14034	203	37527
30901	236	36419
24194	230	43325
43332	268	45824
17720	247	43061
38811	268	6291
41654	228	43598
12147	230	25016
18473	257	49839
12207	212	14501
35227	235	20058
22634	230	38863
31982	246	22550
17172	230	46022
32294	257	37020
30227	288	49021
4088	230	24512
12275	87	18354
2812	230	28920
2526	298	2526
20778	268	40418
46163	228	13885
36781	268	9618
17960	268	13008
31594	230	18943
26749	268	42496
11498	268	42551
42680	276	43196
31720	244	3648
30366	1	46660
37084	220	15542
7509	230	2024
15650	268	2498
48165	204	13041
34759	230	24353
842	230	39063
23430	27	18794
44322	212	33298
32927	109	47577
37054	76	18946
30224	268	26969
40275	228	37636
20346	230	18809
22991	27	45094
36559	268	39818
46542	268	29198
649	210	37727
7495	140	32955
41947	280	13545
1936	230	42187
37052	230	23504
21351	247	19503
14119	27	37291
19681	268	9005
30742	140	12669
1794	268	12040
2385	268	40389
15417	230	3377
40861	228	25215
36981	230	16891
17463	230	42529
2662	247	8393
13577	268	48940
46161	280	23580
27495	106	8303
20896	268	23891
37621	235	1899
8521	195	7844
20459	228	17259
31324	228	28335
27354	228	21131
13162	230	10865
38818	268	37130
10895	43	3593
29898	228	34638
40789	203	16350
4063	268	18774
29847	268	19300
35899	289	14370
4998	268	11559
47684	235	12605
25351	268	32078
18524	230	28920
11475	230	44865
19851	140	47156
10768	268	40319
48869	27	29223
42757	195	20058
24617	268	35374
21613	17	13545
5170	230	14869
26909	230	21901
7347	247	42734
43540	247	30726
40893	230	21070
2399	109	47291
40873	268	9885
45837	27	11012
8380	276	37747
17253	27	11757
15022	230	7457
27537	235	27104
30168	228	30125
17093	268	40389
15677	268	30872
49433	138	32383
22208	230	49216
33141	268	1935
11014	247	40048
4413	202	15427
18874	268	32078
10268	228	34736
16749	230	3399
16459	17	24512
13453	230	3488
21616	268	20817
35823	268	39808
44263	268	41008
27185	27	44972
14583	235	19797
33674	230	23345
18503	27	4773
49552	75	4125
10160	268	7997
11586	228	36949
47967	268	48819
3350	220	30384
46023	280	37889
34815	257	49552
36928	75	24042
43637	230	10453
41527	280	1408
7080	109	4249
43759	39	9387
30838	295	39562
25083	230	5120
7851	40	39629
2513	230	23580
16620	1	19758
42814	230	42187
27152	109	38778
18970	230	48109
14154	109	40389
9698	27	41373
30165	140	33097
19093	268	21016
23969	280	23580
34472	75	43815
42743	230	25016
45989	27	24897
10095	228	41571
44193	27	30553
11548	268	1802
17890	27	1283
44793	230	48109
8099	283	1679
43465	247	2209
16438	210	13628
34872	268	16996
17032	230	35941
36580	183	39825
19905	27	8424
22349	210	26942
8495	1	3779
13063	241	45411
44779	268	16363
17478	230	42006
30866	109	18853
36364	280	28920
46191	3	14718
11621	280	16881
7374	75	41972
25598	230	46422
7589	27	35431
36843	230	42344
12980	230	40109
25280	127	331
15676	289	37279
12747	230	1561
49612	268	15242
23889	140	27082
8124	295	33107
45806	210	37167
17310	195	11967
22639	228	24277
39999	268	47341
20344	177	8303
21386	268	43564
41957	17	32955
47406	27	29613
19190	212	5473
37055	230	37274
45676	230	22923
44285	27	38638
47863	247	41906
41783	140	23045
40255	230	1336
33681	268	23512
28696	125	6075
26938	268	17337
23681	17	9996
24267	280	1408
19962	228	24277
18435	228	1282
19268	268	46398
2136	230	12624
44136	253	47506
21407	244	44819
12416	268	19617
35682	230	17789
34103	195	24232
27657	228	45298
11157	109	26064
12190	268	6050
48118	3	11372
33727	230	48294
43205	268	34052
5148	268	41112
25894	39	26982
21865	247	30492
21290	230	48294
19994	230	24353
6224	228	15508
3722	140	18650
26508	1	17587
44434	230	40475
12569	247	41596
41633	268	40418
22439	268	2823
26771	268	38976
21662	230	13178
4890	27	29405
12624	102	15134
43504	27	32639
35872	27	45557
31335	25	11123
28104	268	40298
23155	268	14116
19557	268	45908
23516	27	44419
39024	230	35155
26369	210	7748
9050	230	40849
5058	268	9319
31563	220	15707
16148	268	11294
13252	230	16323
44596	33	4468
28976	230	35893
30022	27	36973
18919	230	32383
22102	27	16829
13877	228	44841
13373	109	34770
26571	268	3610
16998	230	21843
25843	109	29108
3162	247	6116
19759	268	48022
31602	268	17283
12647	257	30200
43489	248	34756
7970	212	33156
21852	33	11967
28265	268	5145
13368	268	40391
20434	177	32898
28844	27	31126
15884	203	26729
38349	230	11967
2377	276	13307
10342	268	39808
566	230	43266
19723	17	28920
15385	195	47900
11850	230	23744
27785	295	34641
21226	268	25743
46104	268	37385
36621	230	7446
25210	268	37240
40259	257	36602
41321	140	25617
7330	230	37274
49028	280	3601
29190	228	42666
14219	268	26485
10340	230	4104
26076	268	18220
28920	34	41590
778	235	44978
14762	27	39902
24145	289	11219
33148	221	38863
36687	27	6588
32120	268	13602
496	94	43432
17348	27	27786
3737	230	20058
13525	295	28352
31800	230	40849
21513	195	42006
25250	230	3601
28754	230	45094
31198	230	28920
12797	268	2823
21106	140	35184
30711	212	1810
23018	268	47605
36841	228	15508
13481	140	5270
27465	235	47383
42049	268	5342
8543	296	22204
44017	268	18456
22526	268	44741
20346	268	33619
639	195	43908
37192	268	8480
6744	241	27082
4214	280	2586
31219	234	34142
42077	203	2377
42283	291	47092
12131	25	33000
4314	230	900
21359	33	36256
11241	109	25974
21159	230	28920
30179	210	32048
9356	268	13008
32147	230	15204
31657	230	31223
8018	268	11659
39032	140	37036
12740	268	46929
43838	268	11091
32327	230	40316
2689	140	9642
49252	268	11559
43288	27	42756
38606	27	40979
30403	230	9996
36358	268	29108
23946	27	15455
38020	230	29753
36595	203	43435
32002	34	5143
7563	1	10109
34534	212	24161
44504	268	37385
38758	268	46398
37629	268	18543
6064	75	782
36900	140	49911
44581	140	32955
35444	109	2828
41327	40	8718
4914	230	26279
11065	140	27104
26419	268	38453
46479	230	10865
21682	268	48353
14313	228	18837
25170	268	47100
22345	27	15278
20970	228	46909
42803	230	10865
4999	230	33635
44930	280	38863
13043	203	36562
14709	247	44798
6529	230	16001
43762	289	47010
12123	195	24504
36971	230	47230
12207	230	32955
42787	295	4870
23616	280	24353
7227	268	15992
17950	235	16981
6744	126	27082
4621	25	35950
21986	235	48281
27466	230	20610
37312	109	24942
38957	235	27290
34167	276	48496
18971	109	6416
39582	280	24232
29048	228	28335
1821	140	43908
47112	140	42006
29110	230	17789
11142	268	25536
11403	235	37889
43911	228	11726
38419	230	24504
33986	276	46708
47039	230	42006
2392	230	49216
36914	268	27472
38637	268	29559
46081	210	37727
49204	230	23857
14058	140	42006
5572	268	45824
32336	268	47605
16388	228	49639
48868	27	43477
8465	246	21884
32009	17	16881
16353	140	24572
33944	243	19135
23514	202	18650
26167	195	14124
15309	276	4037
6902	280	3601
612	268	2549
205	228	35892
29234	280	31854
38314	230	28920
19091	27	31323
8228	298	25935
15043	77	357
34404	27	41958
46578	230	27082
16777	268	24563
24103	230	45411
40660	230	49847
29749	268	13008
9208	212	41115
25603	268	27358
27784	296	30901
43656	140	48109
23934	230	16083
33886	195	25934
48203	27	40979
12414	230	36256
35495	290	31854
38744	295	5490
36998	228	44453
47536	280	3601
41666	220	405
46108	268	6050
41506	228	45884
12382	230	3399
36367	230	40541
33923	230	36761
17419	27	29223
3570	1	465
41305	203	39561
16674	27	44419
18782	174	45926
42641	230	46255
2500	204	18392
15155	27	21583
31685	209	46801
47180	268	23896
5000	195	46521
41047	268	14116
43214	109	32827
19615	247	17880
21665	230	1815
23118	295	26793
9625	140	38598
3313	268	16136
20006	230	27290
45523	268	31694
17307	230	35429
19727	230	12669
47861	244	16160
8854	230	24512
33474	117	32002
7959	230	9712
31721	140	20058
30924	280	16881
15775	212	20861
36828	230	14103
2962	230	35671
4590	230	47406
17749	138	34690
6826	140	42066
10295	268	1332
15911	202	34032
44279	230	23744
20679	268	23835
41626	230	46022
37791	268	39429
18459	280	27082
19200	230	40849
21978	268	35016
31512	268	18543
23849	27	42740
11125	268	41255
48298	268	17337
19200	228	41036
38279	230	11387
49159	268	47486
47504	1	21514
36962	1	2888
48598	230	35420
16240	244	45787
17278	268	7801
26832	280	49747
35972	220	42100
47419	296	21963
23581	235	36872
43087	27	5849
31129	230	26919
44617	204	29085
44774	268	38524
9281	140	31854
38850	268	38976
48156	202	33473
12874	230	17789
25277	230	35429
26127	230	24572
25477	87	42329
506	27	18538
8999	235	45377
12638	27	24980
13397	209	20307
19269	257	49552
9240	295	30898
17866	228	19695
24603	230	23580
39147	268	3589
11506	75	17029
27714	295	10386
12267	230	32383
22959	244	7043
36116	268	25540
29983	17	37889
36068	244	2838
22477	230	31091
27109	27	24897
45486	268	43092
41673	140	20078
16598	268	43937
4681	268	47103
44355	228	42164
6974	27	6621
45237	19	29451
30433	230	27082
31811	230	24572
31135	268	42551
30898	83	9102
13342	27	2155
45318	39	32383
35985	27	47057
19289	195	33813
47282	268	26111
48608	289	14159
31572	230	19298
20135	230	2024
25640	268	42496
6504	230	32328
42267	228	24302
34787	102	38688
46896	230	37490
19068	280	22844
30800	230	7457
40694	235	37036
35851	26	8114
31121	109	24011
43685	125	40109
12662	280	24353
22422	276	12721
31926	230	49713
13253	230	24512
14446	230	42529
32723	295	23843
48490	268	8019
29781	228	43868
44017	230	46727
35760	280	37889
43560	230	28920
25740	140	2024
5659	1	1887
16945	228	24277
27484	27	23279
41346	12	28371
41962	27	8178
27812	127	20808
18430	288	7587
43633	1	1701
19371	203	6656
32372	230	31732
48498	268	34052
45160	235	31029
25230	268	31694
24661	280	43908
10014	26	27927
43676	268	23599
